Metric,True_Latent,Learned_Latent,Difference
bic,2920.121704568537,9194.488892068537,6274.3671875
aic,2864.130859375,9138.498046875,6274.3671875
log_likelihood,-1.1842211484909058,-3.7985408306121826,-2.6143198013305664
perplexity,1.0009872913360596,1.0031704902648926,0.002183198928833008
silhouette_score,0.8077244758605957,0.7840313911437988,-0.023693084716796875
calinski_harabasz,23353.958984375,17292.37890625,-6061.580078125
davies_bouldin,0.2550084199042952,0.3983937193031485,0.1433852993988533
ari_with_true,0.9977759207750266,0.6298448567772293,-0.3679310639977973
mean_entropy,0.00360387796536088,0.09270496666431427,0.08910109102725983
mean_max_prob,0.998653769493103,0.9586825370788574,-0.039971232414245605
js_divergence,0.0012500039158318725,0.2101174737474874,0.20886746983165552
proportion_correlation,,,
proportion_mae,0.0007052905857563019,0.1257267016917467,0.1250214111059904
